country,sex,audio_length,max_freq,db,continent
panama,male,22.79545833,24000.0,29.96293629,north america
papua new guinea,male,25.12206349,22050.0,29.66568913,oceania
peru,famale,32.27353238,22050.0,30.67806343,south america
peru,male,25.30442921,18537.5,31.39842341,south america
philippines,famale,29.01898825,22171.875,31.57435121,asia
philippines,male,23.11086816,22050.0,30.75240456,asia
poland,famale,26.73470947,22050.0,31.39539775,europe
poland,male,24.33638401,20879.16667,31.6200897,europe
portugal,famale,27.05268707,22050.0,30.60439586,europe
portugal,male,27.59609977,22050.0,33.35412054,europe
puerto rico,famale,30.44647959,22050.0,32.1766205,north america
puerto rico,male,22.78171202,16537.5,28.45363844,north america
qatar,male,40.53477702,22050.0,31.80090186,asia
republic of georgia,famale,31.85650794,22050.0,30.8421835,europe
republic of georgia,male,35.60003023,22050.0,30.15844342,europe
romania,famale,25.89912698,22050.0,31.21232814,europe
romania,male,29.68217404,22050.0,31.785019800000004,europe
romania,male,25.39988662,22050.0,30.78225787,europe
russia,famale,28.40948779,22180.0,30.73260316,europe
russia,male,27.54095763,22171.875,31.21158741,europe
rwanda,male,23.53857143,22050.0,33.17077698,africa
saudi arabia,famale,31.78480932,22050.0,32.14632544,asia
saudi arabia,male,36.15998572,21637.5,32.05896221,asia
senegal,famale,34.76881633,22050.0,31.9340235,africa
senegal,male,36.18234591,22050.0,32.93470222,africa
serbia,famale,23.46839002,22050.0,32.264815899999995,europe
serbia,male,25.12877047,21041.66667,30.61146009,europe
italy,male,46.68027211,22050.0,32.46332342,europe
sierra leone,famale,33.49434014,22050.0,30.59376224,africa
sierra leone,male,31.05946939,22050.0,31.35104771,africa
singapore,famale,19.35605442,22050.0,30.89889499,asia
singapore,male,24.21914399,22050.0,32.27629385,asia
slovakia,famale,26.17411943,22050.0,31.78939091,europe
slovakia,famale,25.83656463,22050.0,27.78525328,europe
slovenia,famale,21.07873016,22050.0,32.60505747,europe
slovenia,male,20.89873016,22050.0,31.93928899,europe
solomon islands,famale,27.35433333,24000.0,31.60406823,oceania
solomon islands,male,31.71027211,22050.0,33.99806284,oceania
somalia,famale,38.50602419,22050.0,32.47292789,africa
somalia,male,31.11897959,22050.0,31.39638672,africa
south africa,famale,22.16363946,22050.0,31.0999956,africa
south africa,male,22.77892452,22050.0,31.32656075,africa
south korea,famale,31.200937800000002,22050.0,31.19101694,asia
south korea,male,30.57643748,21655.43478,31.69208412,asia
spain,famale,29.83640428,22050.0,31.22073271,europe
spain,male,29.79904006,22050.0,32.01558355,europe
sri lanka,famale,42.50616779999999,22050.0,30.8649016,asia
sri lanka,male,35.23752834,22050.0,34.32430359,asia
sudan,famale,28.74108844,22050.0,33.05211632,africa
sudan,male,35.38956463,22050.0,32.88522589,africa
sweden,famale,26.27878685,22050.0,32.08424214,europe
sweden,male,23.49617192,22050.0,31.74891123,europe
switzerland,famale,25.70658293,20033.33333,31.4421881,europe
switzerland,male,25.3561678,22050.0,31.64860507,europe
syria,male,30.23138322,22050.0,32.11280484,asia
taiwan,famale,36.25090762,22310.0,31.88915573,asia
taiwan,male,32.27498866,19845.0,31.44268062,asia
tajikistan,famale,27.02202948,22050.0,30.84268954,asia
tajikistan,male,35.65772109,22050.0,32.19654484,asia
tanzania,famale,28.96958428,22050.0,31.92283621,africa
tanzania,male,27.30312925,14700.0,29.10487038,africa
thailand,famale,31.34312277,22050.0,32.34901658,asia
thailand,male,28.18452098,22050.0,31.3473284,asia
bahamas,famale,29.98861678,22050.0,30.90904581,north america
tibet,famale,44.10293651,22050.0,32.52750229,asia
timor-leste,male,30.67217687,22050.0,27.72013773,asia
