country,sex,audio_length,max_freq,db
ireland,male,22.53960317460317,22050.0,30.830730149348692
isle of man,famale,20.83011337868481,22050.0,30.355210699302482
israel,famale,28.5835873015873,22050.0,31.61290240436029
israel,male,28.791167800453515,20671.875,30.818783990170836
israel (occupied territory),male,32.54290249433107,22050.0,32.741887777575954
italy,famale,25.406008700239354,21377.777777777777,30.773968218134346
italy,male,26.63326924972888,22050.0,31.423057778524377
ivory coast,famale,37.37510204081632,22050.0,31.690234155283353
ivory coast,male,35.30479591836735,22050.0,32.97878951806568
jamaica,famale,34.236455026455026,22050.0,30.72696326353282
jamaica,male,21.514375,23025.0,30.814079279668636
japan,famale,31.28801120448179,21401.470588235294,31.921609262785196
japan,male,26.572015621063244,22050.0,31.808093268450243
jordan,famale,39.902630385487534,22050.0,32.84501461578038
jordan,male,37.184319727891165,22050.0,29.916163613641963
kazakhstan,famale,25.7431746031746,22050.0,31.358504076744595
kazakhstan,male,21.86417233560091,22050.0,27.4429488258635
kenya,famale,27.530260770975055,22050.0,31.945959255163977
kenya,male,32.97450923226434,22050.0,31.300977044064158
kosovo,famale,25.75661375661376,22050.0,32.34571840083983
kosovo,male,29.90403628117914,22050.0,31.176286759575504
kuwait,famale,33.97666666666667,22050.0,32.0942743036547
kuwait,male,27.79277777777778,22050.0,33.08298716753675
kyrgyzstan,famale,30.579353741496597,22050.0,30.41083530648811
laos,famale,33.57501133786848,22050.0,32.45855831179326
laos,male,36.24901738473167,22050.0,32.57029365157336
latvia,famale,26.390808767951626,22050.0,30.986970181528704
latvia,male,22.049115646258503,22050.0,30.482763925778308
lebanon,famale,28.321111111111108,22050.0,32.292208740511626
lebanon,male,30.037490551776262,22050.0,30.78360174160892
lesotho,famale,31.384671201814054,22050.0,34.0807833710025
liberia,famale,34.42081632653061,22050.0,30.594579042782037
liberia,male,29.53344671201814,22050.0,33.63415794131904
libya,famale,40.39001133786848,22050.0,33.57684743119372
liechtenstein,famale,24.599773242630388,22050.0,30.453019903378163
lithuania,famale,25.708020732102362,22050.0,31.066139985976882
luxembourg,famale,23.873174603174604,22050.0,30.011997626792816
macedonia,famale,25.030716286514604,22050.0,30.00267297612561
macedonia,male,26.17296548248929,22050.0,31.308810871418377
madagascar,male,49.901451247165525,22050.0,34.169651737433014
malawi,male,36.318458049886615,22050.0,31.954196312166964
malaysia,famale,23.52767951625094,22050.0,32.380687725653374
malaysia,male,24.082947845804988,22050.0,30.315073993539862
mali,famale,32.44901738473167,22050.0,31.47068363090691
mali,male,34.35791383219954,22050.0,30.913304118131823
malta,famale,31.73641723356009,22050.0,31.944886342768747
martinique,male,21.460498866213147,22050.0,30.473971631414127
mauritius,male,28.131598639455788,22050.0,32.14966890003062
mexico,famale,32.4406446388079,20475.0,31.073960021859907
mexico,male,26.32464096749811,22050.0,31.7827854487097
moldova,famale,33.295682539682545,22050.0,31.193361362169146
moldova,male,20.77062358276644,22050.0,31.297427317031563
mongolia,famale,38.96867724867726,18375.0,30.159466904713536
mongolia,male,32.76455026455026,22050.0,32.53620201967605
montenegro,famale,30.4049433106576,22050.0,31.18453372132492
morocco,famale,31.004081632653065,22050.0,32.289938880051004
morocco,male,29.636680839002267,22050.0,31.541179502561995
